R	a	b	z	x	u	grp
0.6	0.85	0.5	0.395126	0.000753	0	0.604121
0.65	0.85	0.5	0.34612	0.000309	0	0.653571
0.7	0.85	0.5	0.2968	0.000273	0	0.702927
0	0.9	0.5	0.245659	0.743359	0	0.010982
0.05	0.9	0.5	0.653316	0.285199	0	0.061484
0.1	0.9	0.5	0.746973	0.142213	0	0.110815
0.15	0.9	0.5	0.738393	0.099582	0	0.162025
0.2	0.9	0.5	0.750538	0.040192	0	0.20927
0.25	0.9	0.5	0.72177	0.020079	0	0.258151
0.3	0.9	0.5	0.682631	0.009959	0	0.30741
0.35	0.9	0.5	0.638529	0.004719	0	0.356753
0.4	0.9	0.5	0.591731	0.002113	0	0.406156
0.45	0.9	0.5	0.543516	0.000884	0	0.4556
0.5	0.9	0.5	0.49459	0.000341	0	0.50507
0.55	0.9	0.5	0.445328	0.000119	0	0.554553
0.6	0.9	0.5	0.395675	0.000277	0	0.604048
0.65	0.9	0.5	0.346289	0.000417	0	0.653295
0.7	0.9	0.5	0.296915	0.000133	0	0.702952
0	0.95	0.5	0.379077	0.61048	0	0.010444
0.05	0.95	0.5	0.789458	0.150475	0	0.060068
0.1	0.95	0.5	0.844916	0.04573	0	0.109353
0.15	0.95	0.5	0.807763	0.030607	0	0.16163
0.2	0.95	0.5	0.787722	0.004151	0	0.208127
0.25	0.95	0.5	0.741271	0.001138	0	0.257591
0.3	0.95	0.5	0.692639	0.000286	0	0.307075
0.35	0.95	0.5	0.643368	0.000065	0	0.356567
0.4	0.95	0.5	0.593885	0.000141	0	0.405975
0.45	0.95	0.5	0.54442	0.000001	0	0.455579
0.5	0.95	0.5	0.494948	0.000001	0	0.505051
0.55	0.95	0.5	0.445454	0.000001	0	0.554545
0.6	0.95	0.5	0.395959	0.000001	0	0.60404
0.65	0.95	0.5	0.346464	0.000001	0	0.653535
0.7	0.95	0.5	0.296969	0.000001	0	0.70303
0	1	0.5	0.636205	0.353694	0	0.010101
0.05	1	0.5	0.940403	0.000001	0	0.059596
0.1	1	0.5	0.890908	0.000001	0	0.109091
0.15	1	0.5	0.841413	0.000001	0	0.158586
0.2	1	0.5	0.791918	0.000001	0	0.208081
0.25	1	0.5	0.742423	0.000001	0	0.257576
0.3	1	0.5	0.692928	0.000001	0	0.307071
0.35	1	0.5	0.643433	0.000001	0	0.356566
0.4	1	0.5	0.593939	0.000001	0	0.40606
0.45	1	0.5	0.544444	0.000001	0	0.455555
0.5	1	0.5	0.494949	0.000001	0	0.50505
0.55	1	0.5	0.445454	0.000001	0	0.554545
0.6	1	0.5	0.395959	0.000001	0	0.60404
0.65	1	0.5	0.346464	0.000001	0	0.653535
0.7	1	0.5	0.296969	0.000001	0	0.70303
