R	a	b	z	x	u	grp
0.1	0.85	0.5	0.771393	0.112796	0.005106	0.110705
0.15	0.85	0.5	0.749093	0.08723	0.002936	0.160741
0.2	0.85	0.5	0.725584	0.062837	0.001477	0.210102
0.25	0.85	0.5	0.69633	0.043597	0.000694	0.259379
0.3	0.85	0.5	0.662307	0.028853	0.000298	0.308543
0.35	0.85	0.5	0.626846	0.013791	0.003644	0.35572
0.4	0.85	0.5	0.58338	0.008901	0.00358	0.404139
0.45	0.85	0.5	0.538201	0.005224	0.000366	0.456208
0.5	0.85	0.5	0.491451	0.002999	0.00099	0.504561
0.55	0.85	0.5	0.443651	0.001642	0.000001	0.554706
0.6	0.85	0.5	0.395131	0.000748	0.000001	0.60412
0.65	0.85	0.5	0.346122	0.000307	0.000001	0.65357
0.7	0.85	0.5	0.296799	0.000276	0.000001	0.702924
0	0.9	0.5	0.834278	0.147435	0.008102	0.010185
0.05	0.9	0.5	0.822609	0.112804	0.004513	0.060074
0.1	0.9	0.5	0.807537	0.080439	0.002198	0.109826
0.15	0.9	0.5	0.784564	0.054749	0.000982	0.159705
0.2	0.9	0.5	0.758674	0.032221	0.000332	0.208772
0.25	0.9	0.5	0.727416	0.013208	0.000101	0.259276
0.3	0.9	0.5	0.684575	0.007316	0.000001	0.308108
0.35	0.9	0.5	0.639023	0.003952	0.000272	0.356752
0.4	0.9	0.5	0.591824	0.001989	0.000001	0.406186
0.45	0.9	0.5	0.543524	0.000875	0.000001	0.455599
0.5	0.9	0.5	0.494593	0.000337	0.000001	0.505069
0.55	0.9	0.5	0.445329	0.000118	0.000001	0.554552
0.6	0.9	0.5	0.395678	0.000654	0.000001	0.603667
0.65	0.9	0.5	0.346288	0.000001	0.000001	0.65371
0.7	0.9	0.5	0.296916	0.000131	0.000001	0.702952
0	0.95	0.5	0.878601	0.107642	0.003635	0.010122
0.05	0.95	0.5	0.873917	0.065097	0.001262	0.059725
0.1	0.95	0.5	0.858683	0.031786	0.00029	0.109242
0.15	0.95	0.5	0.830946	0.009567	0.001304	0.158184
0.2	0.95	0.5	0.788381	0.003338	0.000001	0.20828
0.25	0.95	0.5	0.741293	0.001116	0.000001	0.257591
0.3	0.95	0.5	0.692644	0.00028	0.000001	0.307075
0.35	0.95	0.5	0.643369	0.000064	0.000001	0.356566
0.4	0.95	0.5	0.593885	0.000001	0.000001	0.406113
0.45	0.95	0.5	0.54442	0.000048	0.000001	0.45553
0.5	0.95	0.5	0.494948	0.000001	0.000001	0.50505
0.55	0.95	0.5	0.445453	0.000001	0.000001	0.554545
0.6	0.95	0.5	0.395958	0.000001	0.000001	0.60404
0.65	0.95	0.5	0.346463	0.000001	0.000001	0.653535
0.7	0.95	0.5	0.296969	0.000001	0.000001	0.703029
0	1	0.5	0.989897	0.000001	0.000001	0.010101
0.05	1	0.5	0.940402	0.000001	0.000001	0.059596
0.1	1	0.5	0.890907	0.000001	0.000001	0.109091
0.15	1	0.5	0.841412	0.000001	0.000001	0.158586
0.2	1	0.5	0.791917	0.000001	0.000001	0.208081
0.25	1	0.5	0.742423	0.000001	0.000001	0.257575
0.3	1	0.5	0.692928	0.000001	0.000001	0.30707
0.35	1	0.5	0.643433	0.000001	0.000001	0.356565
0.4	1	0.5	0.593938	0.000001	0.000001	0.40606
0.45	1	0.5	0.544443	0.000001	0.000001	0.455555
0.5	1	0.5	0.494948	0.000001	0.000001	0.50505
0.55	1	0.5	0.445453	0.000001	0.000001	0.554545
0.6	1	0.5	0.395959	0.000001	0.000001	0.604039
0.65	1	0.5	0.346464	0.000001	0.000001	0.653534
0.7	1	0.5	0.296969	0.000001	0.000001	0.703029
