T	z	x1	u1	x2	u2	x3	u3	x4	u4	x5	u5	x6	u6	x7	u7	x8	u8	x9	u9	x10	u10
5155	0.637672	0.004720	0.912799	0.004664	0.644897	0.006812	0.758345	0.003229	0.895221	0.006659	0.636864	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5160	0.632537	0.004367	0.910217	0.005666	0.650545	0.007565	0.765774	0.004215	0.895879	0.004917	0.639444	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5165	0.634667	0.003072	0.917373	0.005154	0.650203	0.007337	0.756264	0.002527	0.900370	0.005987	0.641713	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5170	0.633172	0.003953	0.916985	0.004848	0.642156	0.007904	0.764954	0.003099	0.903658	0.004641	0.643254	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5175	0.633283	0.003297	0.920181	0.005629	0.637050	0.007898	0.772409	0.003628	0.906946	0.003578	0.650885	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5180	0.632627	0.003404	0.917421	0.006321	0.647965	0.006239	0.774314	0.004418	0.906629	0.004352	0.629870	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5185	0.631025	0.003665	0.914284	0.005193	0.643463	0.006109	0.782188	0.003167	0.909665	0.003519	0.634578	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5190	0.629060	0.004270	0.914901	0.004485	0.651550	0.004718	0.785684	0.002835	0.903655	0.003343	0.643439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5195	0.626869	0.005204	0.913801	0.005967	0.648421	0.004072	0.782386	0.003536	0.900231	0.003525	0.651470	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5200	0.626412	0.004853	0.913558	0.005379	0.651631	0.005594	0.787914	0.004597	0.896613	0.004525	0.646751	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5205	0.627063	0.004592	0.914908	0.004772	0.641568	0.004496	0.781801	0.005708	0.897221	0.005062	0.660304	0.002724	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5210	0.626173	0.004202	0.917669	0.004513	0.641806	0.005039	0.784851	0.004710	0.902325	0.005076	0.645071	0.004435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5215	0.628405	0.004320	0.919079	0.005121	0.652646	0.004513	0.788299	0.004409	0.901474	0.005201	0.634302	0.009940	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5220	0.623782	0.003148	0.920573	0.005099	0.650189	0.005361	0.773387	0.004098	0.904182	0.005195	0.612380	0.016427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5225	0.617631	0.002849	0.922557	0.004589	0.659742	0.004129	0.775531	0.002839	0.904471	0.003751	0.608543	0.023414	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5230	0.609016	0.003638	0.922804	0.003558	0.671809	0.003773	0.776563	0.003070	0.913844	0.003942	0.606377	0.038329	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5235	0.597017	0.004424	0.929209	0.003386	0.672928	0.004887	0.762045	0.003716	0.917425	0.004258	0.616749	0.049195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5240	0.586835	0.004549	0.934371	0.002800	0.678949	0.004646	0.765948	0.003419	0.923840	0.004914	0.608497	0.061620	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5245	0.576443	0.004718	0.937242	0.003752	0.695683	0.004233	0.783975	0.003428	0.924585	0.004874	0.598897	0.075432	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5250	0.563934	0.003756	0.935925	0.004162	0.699382	0.003674	0.788469	0.003893	0.925492	0.003855	0.600745	0.085192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5255	0.546697	0.003291	0.936486	0.004511	0.705517	0.003212	0.791320	0.005541	0.928507	0.005446	0.598026	0.097916	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5260	0.539518	0.003903	0.942770	0.004767	0.705859	0.003825	0.796460	0.003937	0.929218	0.004300	0.602424	0.103051	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5265	0.533519	0.002927	0.942315	0.004889	0.708087	0.003123	0.787952	0.003562	0.928177	0.004326	0.608833	0.107401	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5270	0.528288	0.002582	0.942396	0.006387	0.704215	0.003507	0.786043	0.003205	0.928263	0.004885	0.602542	0.113262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5275	0.519404	0.003049	0.943639	0.004635	0.697726	0.004280	0.781373	0.002892	0.931556	0.003476	0.599621	0.115905	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5280	0.514194	0.004087	0.941751	0.004125	0.697336	0.004672	0.780062	0.002869	0.931731	0.004241	0.596983	0.117693	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5285	0.503965	0.002748	0.943053	0.005079	0.703228	0.006384	0.775920	0.004137	0.926741	0.005366	0.590509	0.124632	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5290	0.500811	0.002928	0.942168	0.004525	0.716718	0.006981	0.782696	0.003158	0.930336	0.005570	0.576887	0.125999	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5295	0.500031	0.003626	0.939296	0.004123	0.722385	0.006198	0.790914	0.003134	0.931755	0.004094	0.575041	0.124448	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5300	0.500865	0.003268	0.934726	0.004089	0.719908	0.005081	0.799280	0.001941	0.931038	0.004824	0.567868	0.126907	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5305	0.498067	0.003819	0.934862	0.003696	0.716547	0.004757	0.805481	0.002608	0.933760	0.004574	0.565008	0.130190	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5310	0.496728	0.003803	0.927139	0.004754	0.726587	0.004501	0.811247	0.003250	0.932995	0.004609	0.558524	0.133057	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5315	0.500290	0.002792	0.928969	0.005501	0.738178	0.002545	0.834129	0.003785	0.936026	0.005784	0.540317	0.132560	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5320	0.495049	0.003355	0.932577	0.005604	0.734429	0.003739	0.822019	0.003747	0.938119	0.005381	0.555358	0.134718	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
5325	0.487070	0.003400	0.932417	0.005396	0.737882	0.003470	0.819652	0.005505	0.937737	0.005744	0.556570	0.136258	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
